,Unnamed: 0,time ,image_name,steer
10814,10814,1.61164e+18,frame_1611644154848337650.jpeg,0.54
8909,8909,1.61164e+18,frame_1611644086206506491.jpeg,0.54
5197,5197,1.61164e+18,frame_1611643952766507864.jpeg,0.545
11032,11032,1.61164e+18,frame_1611644162730942249.jpeg,0.445
5988,5988,1.61164e+18,frame_1611643981510357857.jpeg,0.01
4137,4137,1.61164e+18,frame_1611643913770044804.jpeg,0.005
332,332,1.61164e+18,frame_1611643775831441641.jpeg,0.52
5251,5251,1.61164e+18,frame_1611643954568166971.jpeg,0.55
9848,9848,1.61164e+18,frame_1611644120111482620.jpeg,0.495
5420,5420,1.61164e+18,frame_1611643960920653820.jpeg,0.535
9237,9237,1.61164e+18,frame_1611644097642423630.jpeg,0.01
9476,9476,1.61164e+18,frame_1611644106070044279.jpeg,0.005
1049,1049,1.61164e+18,frame_1611643802980762243.jpeg,0.605
11047,11047,1.61164e+18,frame_1611644163232181549.jpeg,0.005
10996,10996,1.61164e+18,frame_1611644161530237436.jpeg,0.255
2694,2694,1.61164e+18,frame_1611643861360110044.jpeg,0.54
604,604,1.61164e+18,frame_1611643786401799679.jpeg,0.55
2032,2032,1.61164e+18,frame_1611643838202019453.jpeg,0.55
4313,4313,1.61164e+18,frame_1611643920775209904.jpeg,0.545
340,340,1.61164e+18,frame_1611643776100125074.jpeg,0.285
6254,6254,1.61164e+18,frame_1611643991040694237.jpeg,0.545
10184,10184,1.61164e+18,frame_1611644132256539106.jpeg,0.545
4123,4123,1.61164e+18,frame_1611643913304911613.jpeg,0.015
9007,9007,1.61164e+18,frame_1611644089465104342.jpeg,0.54
4189,4189,1.61164e+18,frame_1611643915497379780.jpeg,0.545
5510,5510,1.61164e+18,frame_1611643963936024904.jpeg,0.01
9210,9210,1.61164e+18,frame_1611644096744132519.jpeg,0.545
3212,3212,1.61164e+18,frame_1611643880645979643.jpeg,0.46
10591,10591,1.61164e+18,frame_1611644146623191595.jpeg,0.0
8363,8363,1.61164e+18,frame_1611644066811423540.jpeg,0.545
10822,10822,1.61164e+18,frame_1611644155185085058.jpeg,0.0
11653,11653,1.61164e+18,frame_1611644184930114269.jpeg,0.54
666,666,1.61164e+18,frame_1611643788480318546.jpeg,0.24
1607,1607,1.61164e+18,frame_1611643822858696222.jpeg,0.495
8724,8724,1.61164e+18,frame_1611644078865062237.jpeg,0.545
10250,10250,1.61164e+18,frame_1611644134473082066.jpeg,0.545
1808,1808,1.61164e+18,frame_1611643829563179731.jpeg,0.545
5003,5003,1.61164e+18,frame_1611643945686088085.jpeg,0.495
10621,10621,1.61164e+18,frame_1611644147966343403.jpeg,0.005
5545,5545,1.61164e+18,frame_1611643965318664074.jpeg,0.005
